Name,Count_-2_pre,Count_-6_pre,Count_-6_2,Count_-2_2,Count_-6_4,Count_-6_6,Count_-2_6,Count_-6_8,Count_-2_8,Count_-2_10,Count_-6_10,Mean_-2_pre,Mean_-6_pre,Mean_-6_2,Mean_-2_2,Mean_-6_4,Mean_-6_6,Mean_-2_6,Mean_-6_8,Mean_-2_8,Mean_-2_10,Mean_-6_10,P_value_A_-2_pre_vs_-6_pre,P_value_A_-6_2_vs_-2_2,P_value_A_-6_6_vs_-2_6,P_value_A_-6_8_vs_-2_8,P_value_A_-2_10_vs_-6_10,Flag_A_-2_pre_vs_-6_pre,Flag_A_-6_2_vs_-2_2,Flag_A_-6_6_vs_-2_6,Flag_A_-6_8_vs_-2_8,Flag_A_-2_10_vs_-6_10,,,,negaive means -6 is significantly larger
Unknown 038,3,1,3,3,3,1,3,3,3,3,3,20.35117567,17.7447612,20.97930481,20.58377895,20.01075702,20.31000678,20.39414806,19.52019062,20.99809231,20.43250211,20.57527036,0.139092004,0.743610268,0.960701303,0.230498474,0.905895701,0,0,0,0,0,,,,
Unknown 039,3,1,3,3,3,1,3,3,3,3,3,23.98575598,23.99130307,23.04830329,23.78539741,22.90594792,24.97618239,23.0369171,24.06115536,23.69784506,24.12862001,24.3375508,0.995078938,0.2552147,0.042239716,0.569589131,0.742891378,0,0,1,0,0,,,,
Unknown 040,3,1,3,3,3,1,3,3,3,3,3,22.97145983,22.7402174,23.18852036,23.17098987,23.7909369,24.30097205,23.06920808,24.34957452,23.92842208,24.55663155,23.83798586,0.734320102,0.97092763,0.082920203,0.38635401,0.14715174,0,0,0,0,0,,,,
Unknown 041,3,1,3,3,3,1,3,3,3,3,3,28.0790672,28.36628849,28.2814065,28.4746164,28.89197908,29.00495087,28.37253531,29.32335676,28.89313979,29.65674122,29.10013334,0.600115371,0.617849564,0.255303606,0.273138611,0.16084142,0,0,0,0,0,,,,
Unknown 042,3,1,3,3,3,1,3,3,3,3,3,21.86490678,23.35679859,24.3966833,21.80295034,23.06504865,22.78630441,22.76769063,23.36055177,21.94942942,22.05511675,22.73135091,0.214085791,0.005340377,0.987356204,0.102063578,0.419845617,0,1,0,0,0,,,,
Unknown 043,3,1,3,3,3,1,3,3,3,3,3,21.76247523,24.28178241,22.41877074,19.89946355,21.45804729,22.38938847,19.87008128,21.90330597,19.38399879,19.9164126,22.43571979,0.114409276,0.030605323,0.114409276,0.030605323,0.030605323,0,1,0,1,-1,,,,
Unknown 044,3,1,3,3,3,1,3,3,3,3,3,21.94274834,21.74658984,21.45486286,21.65102137,22.25534507,20.29521246,20.49137096,20.11576736,20.31192586,21.40903177,21.21287327,0.933497161,0.906068965,0.933497161,0.906068965,0.906068965,0,0,0,0,0,,,,
Unknown 045,3,1,3,3,3,1,3,3,3,3,3,27.03200183,27.15798159,27.9683793,27.36308357,27.03047834,21.25194088,27.71490124,25.74067853,28.14532241,28.21853443,28.00696817,0.923509579,0.516602654,9.38E-05,0.017050321,0.819729522,0,0,-1,-1,0,,,,
Unknown 046,3,1,3,3,3,1,3,3,3,3,3,25.40965071,25.47755922,26.09758615,25.72397389,25.16602809,19.48346626,26.0722173,23.71274153,26.28033502,26.43402548,26.19097927,0.961685077,0.709114724,0.000168481,0.017921981,0.808040889,0,0,-1,-1,0,,,,
Unknown 047,3,1,3,3,3,1,3,3,3,3,3,26.61536629,26.41923568,27.51150991,26.96454814,26.49419723,20.45973987,27.22984885,25.01266021,27.51957154,27.70259224,27.48935496,0.895665529,0.60629176,0.000226644,0.027190136,0.840255332,0,0,-1,-1,0,,,,
